Scheme,Category,Type,Benchmark,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
Navi Flexi Cap Fund-Reg(A-IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,16.25,3.41,12.37,7.160055147058823,1000.0,2.34,1000.0
ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,14.3,-2.78,18.96,7.160055147058823,5000.0,2.11,1000.0
ICICI Pru Bharat 22 FOF-(G), FoFs (Domestic) - Equity Oriented, Open ended, S&P BSE Bharat 22 Index,17.22,21.68,21.31,7.160055147058823,5000.0,0.09,1000.0
Invesco India Smallcap Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,21.52,4.75,21.6,7.160055147058823,1000.0,2.22,1000.0
SBI Corp Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,12.95,4.97,3.34,5.03,5000.0,0.79,1000.0
Bank of India Midcap Tax Fund-Sr 2-Reg(IDCW), Equity - ELSS, Close ended, S&P BSE 500 - TRI,19.4,-2.98,15.37,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Edelweiss Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,25.3,6.26,26.73,7.160055147058823,5000.0,2.21,1000.0
Axis Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,14.97,-2.67,8.92,7.160055147058823,1000.0,2.16,1000.0
Axis Equity Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,12.55,-2.66,8.91,7.160055147058823,1000.0,2.16,1000.0
Axis Equity Hybrid Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,12.29,-2.68,8.86,7.160055147058823,1000.0,2.16,1000.0
Axis Equity Hybrid Fund-Reg(Q-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,12.65,-2.7,8.91,7.160055147058823,1000.0,2.16,1000.0
Union Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,13.54,2.42,6.96,7.160055147058823,1000.0,1.94,1000.0
Union Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,13.54,2.42,6.96,7.160055147058823,1000.0,1.94,1000.0
UTI Corporate Bond Fund-Reg(Q-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Composite Index,11.88,4.88,3.61,5.26,20000.0,0.57,1000.0
UTI Corporate Bond Fund-Reg(H-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Composite Index,11.55,4.88,3.61,4.96,20000.0,0.57,1000.0
UTI Corporate Bond Fund-Reg(A-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Composite Index,12.03,4.88,3.61,4.97,20000.0,0.57,1000.0
UTI Corporate Bond Fund-Reg(F-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Composite Index,12.03,4.88,3.61,4.97,20000.0,0.57,1000.0
Nippon India Nifty Next 50 Junior BeES FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, NIFTY NEXT 50,14.23,-6.17,10.41,7.160055147058823,1000.0,0.28,1000.0
Mahindra Manulife Dynamic Bond Yojana-Reg(G), Debt - Dynamic Bond, Open ended, NIFTY 500 - TRI,12.01,3.83,1.63,2.63,1000.0,1.61,1000.0
Mahindra Manulife Dynamic Bond Yojana-Reg(IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,11.36,3.83,1.63,2.11,1000.0,1.61,1000.0
Mahindra Manulife Dynamic Bond Yojana-Reg(Q-IDCW), Debt - Dynamic Bond, Open ended, NIFTY 500 - TRI,10.22,3.83,1.62,2.36,1000.0,1.61,1000.0
IDBI Long Term Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,16.27,2.53,14.61,7.160055147058823,5000.0,2.54,1000.0
Aditya Birla SL Asset Allocator FoF(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, CRISIL Hybrid 50+50 - Moderate Index,40.34,2.12,12.36,9.23,1000.0,1.64,1000.0
Franklin India Equity Savings Fund(IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,11.83,3.11,7.98,7.160055147058823,5000.0,2.14,1000.0
Franklin India Equity Savings Fund(M-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,11.58,2.71,7.84,7.160055147058823,5000.0,2.14,1000.0
Franklin India Equity Savings Fund(Q-IDCW), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,11.33,3.11,7.98,7.160055147058823,5000.0,2.14,1000.0
Tata Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,15.39,-1.51,10.18,7.160055147058823,5000.0,1.84,1000.0
UTI Equity Savings Fund-Reg(IDCW), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,14.01,6.04,10.35,7.160055147058823,5000.0,1.51,1000.0
UTI Equity Savings Fund-Reg(M-IDCW), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,14.01,6.04,10.35,7.160055147058823,5000.0,1.51,1000.0
UTI Equity Savings Fund-Reg(Q-IDCW), Hybrid - Equity Savings, Open ended, Crisil Equity Savings Index,14.01,6.04,10.35,7.160055147058823,5000.0,1.51,1000.0
DSP Corp Bond Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,11.26,4.13,1.96,3.81,1000.0,0.5,1000.0
UTI Gilt Fund with 10 year Constant Duration-Reg(G), Debt - Gilt Fund with 10 year constant duration, Open ended, NIFTY 500 - TRI,10.35,5.88,8.868668958742633,7.160055147058823,5000.0,0.69,1000.0
Motilal Oswal Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,15.45,5.58,8.9,7.160055147058823,5000.0,2.42,1000.0
Axis Ultra Short Term Fund-Reg(IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,12.56,5.38,4.47,4.16,5000.0,1.19,1000.0
Axis Ultra Short Term Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,10.07,5.38,4.47,4.09,5000.0,1.19,1000.0
Axis Ultra Short Term Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,10.07,5.38,4.47,4.09,5000.0,1.19,1000.0
Axis Ultra Short Term Fund-Reg(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, NIFTY Ultra Short Duration Debt Index,10.06,5.38,4.47,4.11,5000.0,1.19,1000.0
Sundaram Services Fund-Reg(IDCW), Equity - Sectoral Fund - Service Industry, Open ended, Nifty Services Sector - TRI,16.91,4.61,16.06,7.160055147058823,1000.0,2.17,1000.0
Sundaram Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,10.06,5.85,5.02,4.32,1000.0,0.31,1000.0
Sundaram Money Market Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,10.49,5.88,5.08,4.35,1000.0,0.31,1000.0
Sundaram Money Market Fund-Reg(M-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,11.19,5.9,5.05,4.4,1000.0,0.31,1000.0
Sundaram Money Market Fund-Reg(Q-IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,11.43,5.84,5.01,4.34,1000.0,0.31,1000.0
Bank of India Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,26.1,1.01,29.3,7.160055147058823,5000.0,2.67,1000.0
ICICI Pru Manufacturing Fund(IDCW), Equity - Thematic Fund - Other, Open ended, S&P BSE India Manufacturing Index - TRI,15.5,8.01,21.57,7.160055147058823,5000.0,2.56,1000.0
IDBI Healthcare Fund-Reg(G), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,16.31,-8.89,12.38,7.160055147058823,5000.0,2.48,1000.0
IDBI Dividend Yield Fund-Reg(G), Equity - Dividend Yield Fund, Open ended, NIFTY 500 - TRI,17.28,0.94,14.77,7.160055147058823,5000.0,2.54,1000.0
HDFC Ultra Short Term Fund-Reg(DD-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,10.1,5.72,4.8,4.73,1000.0,0.69,1000.0
HDFC Ultra Short Term Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,10.05,5.74,4.66,4.68,1000.0,0.69,1000.0
HDFC Ultra Short Term Fund-Reg(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,10.18,5.74,4.82,4.75,1000.0,0.69,1000.0
Axis Growth Opp Fund-Reg(IDCW), Equity - Large & Mid Cap Fund, Open ended, NIFTY LargeMidcap 250 - TRI,16.23,-2.99,15.64,7.160055147058823,1000.0,1.87,1000.0
Aditya Birla SL Bal Bhavishya Yojna-Reg(G), Solution Oriented - Children's Fund, Open ended, NIFTY 500 - TRI,13.42,0.75,6.54,7.160055147058823,1000.0,2.42,1000.0
Invesco India Smallcap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,21.53,4.7,21.6,7.160055147058823,1000.0,2.22,1000.0
Mahindra Manulife Rural Bharat and Consumption Yojana-Reg(IDCW), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,13.52,6.83,10.56,7.160055147058823,1000.0,2.53,1000.0
Tata Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,23.24,11.12,27.52,7.160055147058823,5000.0,2.15,1000.0
Invesco India Equity Savings Fund-Reg(G), Hybrid - Equity Savings, Open ended, NIFTY 50 Equity Savings Index,12.48,-0.7,4.72,7.160055147058823,1000.0,2.32,1000.0
Aditya Birla SL Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1197.1,4.95,3.71,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
UTI Floater Fund-Reg(Q-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,1128.27,5.4,4.15,4.59,20000.0,0.85,1000.0
UTI Floater Fund-Reg(H-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,1119.69,5.4,4.15,4.33,20000.0,0.85,1000.0
UTI Floater Fund-Reg(A-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,1204.05,5.4,4.15,4.68,20000.0,0.85,1000.0
UTI Floater Fund-Reg(F-IDCW), Debt - Floater Fund, Open ended, CRISIL Low Duration Debt Index,1159.02,5.4,4.15,4.42,20000.0,0.85,1000.0
DSP NIFTY Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,14.91,-6.16,10.37,7.160055147058823,1000.0,0.61,1000.0
DSP NIFTY 50 Index Fund-Reg(G), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,17.07,4.68,14.73,7.160055147058823,1000.0,0.39,1000.0
ICICI Pru Overnight Fund(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1194.37,4.96,3.7,7.160055147058823,1000.0,0.19,1000.0
Baroda BNP Paribas Balanced Advantage Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,14.79,5.83,14.02,7.160055147058823,5000.0,1.92,1000.0
Aditya Birla SL Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1000.02,4.95,3.66,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
Aditya Birla SL Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1001.05,4.85,3.63,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
Aditya Birla SL Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1003.39,4.95,3.64,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
DSP Healthcare Fund-Reg(IDCW), Equity - Sectoral Fund - Pharma & Health Care, Open ended, S&P BSE Health Care - TRI,17.7,-0.23,20.43,7.160055147058823,1000.0,2.24,1000.0
Union Value Discovery Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,17.43,4.74,17.65,7.160055147058823,1000.0,2.63,1000.0
Union Value Discovery Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY500 Value 50 - TRI,17.43,4.74,17.65,7.160055147058823,1000.0,2.63,1000.0
Shriram Long Term Equity Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,15.47,1.05,10.48,7.160055147058823,1000.0,2.55,1000.0
Tata Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,12.1,5.32,4.37,4.04,5000.0,1.15,1000.0
ICICI Pru Overnight Fund(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1000.0,4.96,3.65,7.160055147058823,1000.0,0.19,1000.0
ICICI Pru Overnight Fund(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1000.5,4.96,3.65,7.160055147058823,1000.0,0.19,1000.0
Indiabulls Dynamic Bond Fund-Reg(DD-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1008.71,5.48,3.23,4.23,1000.0,0.76,1000.0
Indiabulls Dynamic Bond Fund-Reg(W-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1007.82,5.48,3.24,4.15,1000.0,0.76,1000.0
Indiabulls Dynamic Bond Fund-Reg(FN-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1009.66,5.5,3.25,4.16,1000.0,0.76,1000.0
Indiabulls Dynamic Bond Fund-Reg(M-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,1009.23,5.49,3.25,4.22,1000.0,0.76,1000.0
Indiabulls Equity Hybrid Fund-Reg(G), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,15.12,3.79,10.53,7.160055147058823,1000.0,2.35,1000.0
Indiabulls Equity Hybrid Fund-Reg(IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,15.12,3.81,10.53,7.160055147058823,1000.0,2.35,1000.0
Indiabulls Equity Hybrid Fund-Reg(M-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,15.12,3.8,10.54,7.160055147058823,1000.0,2.35,1000.0
Indiabulls Equity Hybrid Fund-Reg(Q-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,16.03,3.8,12.7,7.160055147058823,1000.0,2.35,1000.0
Indiabulls Equity Hybrid Fund-Reg(H-IDCW), Hybrid - Aggressive Hybrid Fund, Open ended, CRISIL Hybrid 35+65 - Aggressive Index,15.08,3.8,10.54,7.160055147058823,1000.0,2.35,1000.0
Bank of India Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,19.03,0.96,29.27,7.160055147058823,5000.0,2.67,1000.0
Nippon India Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,118.96,4.98,3.74,7.160055147058823,1000.0,0.17,1000.0
IDFC Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1181.15,4.96,3.69,7.160055147058823,1000.0,0.16,1000.0
Axis Capital Builder Fund-4-Reg(IDCW), Equity - Multi Cap Fund, Close ended, NIFTY 500,17.0,-0.41,12.15,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
Kotak Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1182.38,4.95,3.7,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
DSP Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1187.45,4.99,3.79,7.160055147058823,1000.0,0.15,1000.0
ICICI Pru Bharat Consumption Fund(G), Equity - Sectoral Fund - Consumption, Open ended, Nifty India Consumption - TRI,15.87,9.61,12.78,7.160055147058823,5000.0,2.19,1000.0
IDFC Floating Rate Fund-Reg(G), Debt - Floater Fund, Open ended, NIFTY Low Duration Debt Index,10.77,4.93,3.94,7.160055147058823,1000.0,0.83,1000.0
ICICI Pru MNC Fund(G), Equity - Thematic Fund - MNC, Open ended, NIFTY MNC - TRI,19.02,1.33,20.98,7.160055147058823,5000.0,2.27,1000.0
Shriram Long Term Equity Fund-Reg(IDCW), Equity - ELSS, Open ended, NIFTY 500 - TRI,15.46,1.05,10.46,7.160055147058823,1000.0,2.55,1000.0
ICICI Pru Commodities Fund(G), Equity - Thematic Fund - Other, Open ended, NIFTY COMMODITIES - TRI,26.8,8.54,37.61,7.160055147058823,5000.0,2.67,1000.0
Sundaram Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1177.64,4.95,3.7,7.160055147058823,5000.0,0.18,1000.0
IDBI Dividend Yield Fund-Reg(IDCW), Equity - Dividend Yield Fund, Open ended, NIFTY 500 - TRI,17.28,0.94,14.77,7.160055147058823,5000.0,2.54,1000.0
Tata Arbitrage Fund-Reg(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.64,4.42,4.19,7.160055147058823,5000.0,1.06,1000.0
Indiabulls Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1147.06,4.81,3.62,7.160055147058823,1000.0,0.23,1000.0
Axis Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1173.81,5.03,3.79,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Nippon India Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,100.0,4.98,3.69,7.160055147058823,1000.0,0.17,1000.0
Nippon India Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,100.11,4.98,3.7,7.160055147058823,1000.0,0.17,1000.0
Nippon India Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,100.49,4.99,3.68,7.160055147058823,1000.0,0.17,1000.0
Nippon India Overnight Fund-Reg(Q-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,101.26,4.98,3.63,7.160055147058823,1000.0,0.17,1000.0
ICICI Pru India Opp Fund(G), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,20.05,12.02,24.32,7.160055147058823,5000.0,2.02,1000.0
ICICI Pru India Opp Fund(IDCW), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,17.33,12.13,22.26,7.160055147058823,5000.0,2.02,1000.0
WOC Liquid Fund-Reg(G), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1194.33,4.86,3.7,7.160055147058823,1000.0,0.36,1000.0
WOC Liquid Fund-Reg(DD-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1000.95,4.84,3.68,7.160055147058823,2000.0,0.36,2000.0
WOC Liquid Fund-Reg(W-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1001.63,4.86,3.64,7.160055147058823,2000.0,0.36,2000.0
WOC Liquid Fund-Reg(M-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1001.4,4.87,3.62,7.160055147058823,2000.0,0.36,2000.0
WOC Liquid Fund-Reg(FN-IDCW), Debt - Liquid Fund, Open ended, NIFTY 500 - TRI,1003.07,4.87,3.6,7.160055147058823,2000.0,0.36,2000.0
WOC Ultra Short Term Fund-Reg(G), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,1165.66,5.26,4.28,3.86,1000.0,0.99,1000.0
Tata Balanced Adv Fund-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, CRISIL Hybrid 50+50 - Moderate Index,15.36,5.5,12.1,7.160055147058823,5000.0,1.63,1000.0
LIC MF Arbitrage Fund-Reg(W-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.46,4.31,3.67,7.160055147058823,5000.0,0.97,1000.0
LIC MF Arbitrage Fund-Reg(M-IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.53,4.31,3.65,7.160055147058823,5000.0,0.97,1000.0
LIC MF ST Debt Fund-Reg(IDCW), Debt - Short Duration Fund, Open ended, NIFTY 500 - TRI,12.31,3.82,2.28,3.81,5000.0,1.44,1000.0
DSP Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1000.0,4.98,3.74,7.160055147058823,1000.0,0.15,1000.0
IDFC Emerging Businesses Fund-Reg(G), Equity - Small cap Fund, Open ended, S&P BSE 250 Small Cap - TRI,20.92,-2.35,8.868668958742633,7.160055147058823,1000.0,2.2,1000.0
Tata Ultra Short Term Fund-Reg(W-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,10.38,5.38,4.43,3.94,5000.0,1.15,1000.0
Tata Ultra Short Term Fund-Reg(M-IDCW), Debt - Ultra Short Duration Fund, Open ended, CRISIL Ultra Short Term Debt Index,12.1,5.33,4.38,4.06,5000.0,1.15,1000.0
Canara Rob Small Cap Fund-Reg(G), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,24.11,4.01,30.43,7.160055147058823,5000.0,2.04,1000.0
Canara Rob Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,22.39,4.01,30.41,7.160055147058823,5000.0,2.04,1000.0
Aditya Birla SL Bal Bhavishya Yojna-Reg(IDCW), Solution Oriented - Children's Fund, Open ended, NIFTY 500 - TRI,13.43,0.75,6.56,7.160055147058823,1000.0,2.42,1000.0
Kotak Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1004.76,4.94,3.65,7.160055147058823,5000.0,1.3712016129032258,1030.463038180341
Edelweiss Small Cap Fund-Reg(IDCW), Equity - Small cap Fund, Open ended, Nifty Smallcap 250 - TRI,21.98,6.22,26.72,7.160055147058823,5000.0,2.21,1000.0
Baroda BNP Paribas Money Market Fund-Reg(DD-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,1005.98,5.82,4.59,3.59,5000.0,0.39,1000.0
Baroda BNP Paribas Money Market Fund-Reg(W-IDCW), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,1000.42,5.53,4.52,3.72,5000.0,0.39,1000.0
SBI Corp Bond Fund-Reg(M-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,12.22,4.97,3.34,4.98,5000.0,0.79,1000.0
SBI Corp Bond Fund-Reg(Q-IDCW), Debt - Corporate Bond Fund, Open ended, NIFTY Corporate Bond Index,12.58,4.98,3.34,5.03,5000.0,0.79,1000.0
IDFC Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1000.0,4.99,3.66,7.160055147058823,1000.0,0.16,1000.0
IDFC Overnight Fund-Reg(W-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1001.95,4.96,3.65,7.160055147058823,1000.0,0.16,1000.0
IDFC Overnight Fund-Reg(M-IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1002.85,4.95,3.62,7.160055147058823,1000.0,0.16,1000.0
IDFC Overnight Fund-Reg(IDCW), Debt - Overnight Fund, Open ended, Nifty 1D Rate Index,1080.74,4.96,8.868668958742633,7.160055147058823,1000.0,0.16,1000.0
Union Arbitrage Fund-Reg(G), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.91,3.95,3.93,7.160055147058823,1000.0,0.99,1000.0
Union Arbitrage Fund-Reg(IDCW), Hybrid - Arbitrage Fund, Open ended, Nifty 50 Arbitrage,11.62,3.95,3.88,7.160055147058823,1000.0,0.99,1000.0
Mahindra Manulife Overnight Fund-Reg(G), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,1147.64,4.97,3.75,7.160055147058823,1000.0,1.3712016129032258,1030.463038180341
Parag Parikh Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,20.19,7.49,22.19,7.160055147058823,1000.0,2.21,1000.0
Kotak Floating Rate Fund-Reg(G), Debt - Floater Fund, Open ended, Nifty Short Duration Debt Index,1253.99,5.42,3.56,5.88,5000.0,0.62,1000.0
DSP NIFTY 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,16.26,4.68,14.73,7.160055147058823,1000.0,0.39,1000.0
DSP NIFTY Next 50 Index Fund-Reg(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,14.21,-6.16,10.37,7.160055147058823,1000.0,0.61,1000.0
ICICI Pru Retirement Fund-Pure Equity Plan(IDCW), Solution Oriented - Retirement Fund, Open ended, NIFTY 500 - TRI,17.11,-0.52,17.45,7.160055147058823,5000.0,2.59,1000.0
ICICI Pru Retirement Fund-Hybrid Cons Plan(IDCW), Solution Oriented - Retirement Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,12.91,1.37,5.81,7.160055147058823,5000.0,2.13,1000.0
